1 Elaboration[N][S]
2 Contrast[N][N]
3 Explanation[N][S]
4 Manner-Means[N][S]
5 Background[N][S]
6 Enablement[N][S]
8 same-unit[N][N]
9 Joint[N][N]
10 Attribution[S][N]
11 Attribution[N][S]
12 Temporal[N][S]
14 Condition[S][N]
18 Evaluation[N][S]
19 Condition[N][S]
20 Temporal[N][N]
21 Comparison[N][N]
22 Contrast[N][S]
23 Contrast[S][N]
24 Background[S][N]
25 Comparison[N][S]
26 Cause[N][S]
27 Cause[S][N]
30 Summary[N][S]
31 OTHER[N][S]
32 OTHER[N][N]
33 OTHER[S][N]
